"gene","metabolite","r","p_value","FDR"
"TREM2","Lactate",0.554292075686922,2.96137545192956e-05,0.000135482926925778
"COL1A1","EPA_C20.5n3",-0.546330203555452,4.0560792822548e-05,0.000181039636256738
"TREM2","PE_36.4",-0.540732257423423,5.0362068145737e-05,0.00021943472549214
"COL1A1","Ceramide_d18.1_16.0",0.53715510210204,5.77166208452186e-05,0.000245631200341279
"COL1A1","Palmitoylcarnitine",0.531851506817525,7.0444469746695e-05,0.000292984953719209
"COL1A1","LPC_18.2",-0.525903496652846,8.77417676331001e-05,0.000355878771242645
"TREM2","Kynurenine",0.525374039338419,8.94558659954189e-05,0.000355878771242645
"ALB","Tyrosine",-0.523054500013694,9.73320968810716e-05,0.000378973909132683
"ALB","Glycodeoxycholate",-0.51874319821389,0.000113676439078064,0.00043339142398512
"TREM2","LPC_18.2",-0.515862400747698,0.000125954667540831,0.000463805901250087
"COL1A1","Succinate",0.515690790058065,0.000126722923838821,0.000463805901250087
"COL1A1","Leucine",0.514263450662132,0.0001332803194082,0.000472220846497599
"ALB","Malate",-0.514072010266279,0.000134182972775274,0.000472220846497599
"TREM2","SM_38.1",0.505930331270723,0.00017814263923158,0.000611678552237484
"COL1A1","SM_36.1",0.505548364317662,0.000180495310496307,0.000611678552237484
"TREM2","PC_34.1",-0.503092722587103,0.00019630809068985,0.000653170556295318
"TREM2","Proline",0.499737361515482,0.000219952534817399,0.000718773461992571
"TREM2","Oleate_C18.1",0.498957813174228,0.000225803665615496,0.000724948610660278
"TREM2","Hypoxanthine",0.496540426685227,0.000244858586403454,0.000772571057100553
"COL1A1","Myristate_C14.0",0.490823142420528,0.000295866823829932,0.000917688623065722
"ALB","Taurocholate",-0.4896884737452,0.000307068620856805,0.000936559293613255
"COL1A1","Stearoylcarnitine",0.485211800294197,0.000355112580012013,0.00106533774003604
"COL1A1","Lactate",0.483017694319503,0.000381060073160397,0.0011247418288444
"TREM2","Myristate_C14.0",0.476815947502833,0.000463940394495538,0.00134763638401085
"TREM2","Palmitate_C16.0",0.466966862849429,0.000629393980221852,0.00179967341219686
"COL1A1","Oleate_C18.1",0.464882717203164,0.000670575577853752,0.0018879281653421
"TREM2","Octanoylcarnitine",0.462799094743199,0.000714155117148961,0.00198015737027667
"ALB","Proline",-0.460406263200738,0.000767331426150353,0.00209584553709723
"COL1A1","PC_34.1",-0.459726017402303,0.000783084712974443,0.00210717197971011
"COL1A1","LPC_18.0",-0.459240417437302,0.000794507467759551,0.00210717197971011
"TREM2","Carnitine",-0.456299555120993,0.00086694097793997,0.00226643141375735
"ALB","Deoxycholate",-0.454629163591351,0.000910671972468085,0.00234722494312197
"COL1A1","Valine",0.453948651351516,0.000929047922045424,0.00236133013519879
"ALB","PE_36.4",0.449131932476394,0.0010689091009398,0.00267959404756141
"TREM2","Alanine",0.445972108561608,0.00117061684137742,0.00289484256537846
"TREM2","Malate",0.445503637553083,0.00118641088745019,0.00289484256537846
"COL1A1","PE_36.4",-0.444685591263156,0.00121444802957508,0.00292426301858209
"COL1A1","Kynurenine",0.44320827355506,0.00126658512826118,0.00301019582430904
"ALB","Palmitoleate_C16.1",-0.440122744096239,0.00138197825102546,0.00324233358894434
"COL1A1","SM_38.1",0.439341788431093,0.00141263388660075,0.00327230381326503
"ALB","Myristoylcarnitine",-0.436571455521565,0.00152633501070541,0.00349149133698863
"ALB","Palmitoylcarnitine",-0.434058529976182,0.00163645565611925,0.0036971775934546
"TREM2","PC_38.4",-0.433207541347913,0.00167532037060919,0.00373882472953027
"COL1A1","Citrate",-0.431869318923301,0.00173810117478582,0.0038321989757326
"ALB","SM_34.1",-0.430563120765618,0.00180139045560249,0.00392445777827684
"TREM2","Valine",0.429485182755945,0.00185515541651349,0.00399404048496434
"TREM2","Citrate",-0.428607011547891,0.0019000064698102,0.00400884423935491
"TREM2","LPC_18.0",-0.428137107338007,0.00192439976720235,0.00400884423935491
"COL1A1","Lysine",0.428072979158882,0.00192775023531821,0.00400884423935491
"ALB","Valine",-0.422388011642196,0.0022461889613291,0.0046185683137441
"TREM2","SM_36.1",0.420110476271737,0.00238631873311049,0.00485218142399134
"COL1A1","Isocitrate",-0.418396516344202,0.00249682723491027,0.00502109213174264
"ALB","Taurine",0.414450160804912,0.00276866946308434,0.00550724469287428
"ALB","PC_36.2",0.412399904220348,0.00291997546583722,0.00574575817471195
"TREM2","DHA_C22.6n3",-0.411006327308627,0.00302694585195649,0.00589288394583018
"ALB","Uric_acid",-0.409085882589859,0.00318002347569719,0.00612572943213248
"COL1A1","Palmitate_C16.0",0.406908980386952,0.00336176748060695,0.00640836925990699
"TREM2","Succinate",0.399319178453542,0.00406906153071929,0.00767668309403742
"TREM2","Aspartate",0.397454567700538,0.0042616538507426,0.00795798627230506
"ALB","EPA_C20.5n3",0.391939326754206,0.00487894393589873,0.00894536980482095
"COL1A1","Taurine",-0.391861560240867,0.00488818022121363,0.00894536980482095
"TREM2","Choline",-0.389138714889875,0.00522137572986432,0.00945593682110467
"COL1A1","Serotonin",-0.388750042815826,0.00527052216258293,0.00945593682110467
"COL1A1","Proline",0.383050752925348,0.00603905358606936,0.010702523338606
"TREM2","Stearate_C18.0",0.382749196373938,0.00608230834543727,0.010702523338606
"COL1A1","PC_36.2",-0.381931159669267,0.00620100936658909,0.0108074734674838
"TREM2","TMAO",0.380185325077278,0.00646111041218831,0.0111545585417968
"COL1A1","DHA_C22.6n3",-0.378455049965882,0.00672821728481019,0.0115071379730866
"COL1A1","Octanoylcarnitine",0.375184812986739,0.00725938218125941,0.012300619807134
"ALB","Cholate",-0.374084021617638,0.00744619149192125,0.0124971304523853
"TREM2","Lysine",0.373702315079952,0.00751193633749935,0.0124971304523853
"COL1A1","Tryptophan",0.370831070140399,0.00802283238992179,0.0132268317779792
"COL1A1","Hypoxanthine",0.369705391686729,0.00823119893595778,0.0134491911185739
"COL1A1","Choline",-0.368846054310014,0.00839340508472905,0.0135928595619948
"TREM2","Ceramide_d18.1_18.0",0.364698357486955,0.0092158237754863,0.0147938223764385
"TREM2","Serotonin",-0.364239362378111,0.00931097596339775,0.0148057094274634
"ALB","Laurate_C12.0",-0.363884889022938,0.00938503985565983,0.0148057094274634
"ALB","Aspartate",-0.363329989611021,0.00950200254145294,0.0148621065391956
"ALB","Lysine",-0.360368668925919,0.0101477077837189,0.0157375468171233
"TREM2","Tryptophan",0.353888189924995,0.0116938964626216,0.017983050862687
"ALB","Myristate_C14.0",-0.351627566049587,0.0122788887740583,0.0187231133330846
"TREM2","Taurine",-0.35124712972433,0.0123797634606734,0.0187231133330846
"COL1A1","LPC_16.0",-0.348959474706292,0.0130014558655441,0.0195021837983161
"TREM2","Uric_acid",0.345975204687555,0.0138524979568677,0.0206098140333885
"COL1A1","PC_38.4",-0.342762986421442,0.0148213209402235,0.0217894451503242
"COL1A1","Arachidonate_C20.4n6",-0.342563007947227,0.0148835007857406,0.0217894451503242
"TREM2","Arachidonate_C20.4n6",-0.341617896597081,0.0151803865569722,0.0220477042851264
"ALB","Stearoylcarnitine",-0.34100734373264,0.0153748504526458,0.0220508832042922
"COL1A1","Uric_acid",0.340576222708934,0.0155134397919963,0.0220508832042922
"ALB","PC_34.1",0.340481396682262,0.015544065209583,0.0220508832042922
"ALB","Carnitine",0.336754432482697,0.0167892214552482,0.0235293051839806
"ALB","Succinate",-0.33659772309766,0.0168433823994615,0.0235293051839806
"ALB","Hypoxanthine",-0.336026603007153,0.0170420278771378,0.0236264477387592
"TREM2","LPC_16.0",-0.335069258199117,0.0173794731684224,0.0239131096979045
"TREM2","Glutamate",0.334315688328486,0.0176490662528443,0.0241028292856008
"COL1A1","TMAO",0.330678861016529,0.0190005861967186,0.0257563501777741
"COL1A1","Malate",0.32949399164666,0.019459407745311,0.0261843501278818
"ALB","Glutamine",0.327263851278683,0.0203484366458198,0.0271807584393068
"ALB","Kynurenine",-0.323860898773538,0.0217709792909237,0.0288702116683988
"TREM2","PC_36.2",-0.32198082076215,0.0225922269980132,0.029743723313931
"TREM2","Creatinine",0.321548776618959,0.0227845899386344,0.029782713991215
"COL1A1","Laurate_C12.0",0.32003423476612,0.0234698389716572,0.0304608548355551
"ALB","Alanine",-0.319518144608306,0.0237072627380876,0.0305523174723242
"TREM2","Glucose",0.315945523791821,0.025406764958021,0.0325135523588661
"TREM2","Isocitrate",-0.314948402682708,0.0258989184457222,0.0329132088581053
"ALB","Palmitate_C16.0",-0.313980453609661,0.0263842827868712,0.0332987844827409
"ALB","TMAO",-0.31329745518096,0.0267313224266821,0.0335056986581015
"COL1A1","Alanine",0.308313752367578,0.0293808987056402,0.0365762208376337
"COL1A1","Carnitine",-0.305164955312772,0.0311650965183148,0.0384871311331298
"COL1A1","Aspartate",0.304870384997909,0.0313365166056631,0.0384871311331298
"ALB","LPC_18.0",0.302836377056227,0.0325416709357319,0.0397008385415929
"ALB","SM_38.1",-0.29808235314652,0.0355089181422746,0.0430339868876573
"ALB","LPC_18.2",0.293475215416325,0.0385943197453639,0.0464655296934315
"TREM2","Laurate_C12.0",0.288838784045351,0.0419187127674109,0.0501380682120012
"COL1A1","Glucose",0.287361638454197,0.0430258563838387,0.0510235345481444
"ALB","Oleate_C18.1",-0.287110226953454,0.0432166549451496,0.0510235345481444
"ALB","Citrate",0.283778052665733,0.0458115026548117,0.0537404165758368
"ALB","PC_38.4",0.281146516286684,0.0479493693462863,0.0558900292380279
"COL1A1","Stearate_C18.0",0.278342141073903,0.0503162815380796,0.0582777184903074
"ALB","Octanoylcarnitine",-0.265602201982898,0.0622897904140965,0.0716920229294319
"COL1A1","Betaine",-0.265135739462074,0.0627680948633539,0.071791008499961
"TREM2","Threonine",0.263949025343435,0.0639981988979029,0.0727170831696378
"COL1A1","Creatinine",0.263591548663037,0.0643724998550892,0.0727170831696378
"ALB","Arachidonate_C20.4n6",0.261402106947409,0.0667033174072606,0.0748877735308508
"ALB","Glucose",-0.252423164517224,0.0769742499377778,0.0858919984061789
"COL1A1","Ceramide_d18.1_18.0",0.249378941973592,0.0807267500941361,0.08953330464986
"COL1A1","Threonine",0.247165674446495,0.0835441492215748,0.0920998753466759
"ALB","SM_36.1",-0.240024859115063,0.093162323847022,0.102088055473084
"COL1A1","Glutamate",0.232545071809328,0.104137600524092,0.113435600570886
"TREM2","Betaine",-0.223682372428762,0.118399464632015,0.128207704305673
"ALB","Stearate_C18.0",-0.22180811586072,0.12159701536884,0.130895610661751
"ALB","Threonine",-0.215053902269635,0.133663805717156,0.143043721907834
"ALB","Lactate",-0.198708746802624,0.166547118825247,0.177198388052443
"ALB","Choline",0.186444044431082,0.194832506836919,0.20609450145177
"ALB","Creatinine",-0.185781339643181,0.196452430279386,0.206613762880044
"ALB","DHA_C22.6n3",0.178261860283818,0.215505198710962,0.225356864937749
"ALB","Ceramide_d18.1_18.0",-0.175709899034041,0.222254856164304,0.231094537943566
"ALB","Glutamate",-0.171750408792968,0.23301497223609,0.240913784854263
"ALB","Tryptophan",-0.146754767123493,0.309160283442004,0.31784456106678
"ALB","Serotonin",0.134645480365409,0.351201671586065,0.35904975363268
"ALB","LPC_16.0",0.121278614643246,0.401479337668379,0.408170659962852
"ALB","Betaine",0.104227293787646,0.47132621196858,0.476534236410222
"ALB","Ceramide_d18.1_16.0",-0.103538220278759,0.474278666805477,0.476884593546167
"ALB","Isocitrate",0.0106768955529571,0.941336975955995,0.941336975955995
